"V1" "V2"
"1" "Pseudomonas_veronii_R02_5004" "NZ_CP013696"
"2" "Pseudomonas_veronii_R02_5004" "NZ_AFXJ01000001"
"3" "Pseudomonas_veronii_R02_5004" "NZ_AFXK01000001"
"4" "Pseudomonas_veronii_R02_5004" "NZ_AP014839"
"5" "Pseudomonas_veronii_R02_5004" "NZ_CP013680"
"6" "Pseudomonas_veronii_R02_5004" "NZ_CP017149"
"7" "Pseudomonas_veronii_R02_5004" "NZ_CP015117"
"8" "Pseudomonas_veronii_R02_5004" "NC_020912"
"9" "Pseudomonas_veronii_R02_5004" "NZ_CP015377"
"10" "Pseudomonas_veronii_R02_5004" "NZ_CP011317"
"11" "Pseudomonas_veronii_R02_5004" "NZ_CP013993"
"12" "Pseudomonas_veronii_R02_5004" "NC_018080"
"13" "Pseudomonas_veronii_R02_5004" "NZ_CP017099"
"14" "Pseudomonas_veronii_R02_5004" "NZ_CP012001"
"15" "Pseudomonas_veronii_R02_5004" "NZ_CP007399"
"16" "Pseudomonas_veronii_R02_5004" "NZ_CP012066"
"17" "Pseudomonas_veronii_R02_5004" "NZ_CP017353"
"18" "Pseudomonas_veronii_R02_5004" "NZ_CP010555"
"19" "Pseudomonas_veronii_R02_5004" "NZ_AP017302"
"20" "Pseudomonas_veronii_R02_5004" "NZ_CP017969"
"21" "Pseudomonas_veronii_R02_5004" "NZ_CP008856"
"22" "Pseudomonas_veronii_R02_5004" "NZ_CP008857"
"23" "Pseudomonas_veronii_R02_5004" "NZ_CP008858"
"24" "Pseudomonas_veronii_R02_5004" "NZ_CP008873"
"25" "Pseudomonas_veronii_R02_5004" "NZ_CP008860"
"26" "Pseudomonas_veronii_R02_5004" "NZ_CP008861"
"27" "Pseudomonas_veronii_R02_5004" "NZ_CP008859"
"28" "Pseudomonas_veronii_R02_5004" "NZ_CP008862"
"29" "Pseudomonas_veronii_R02_5004" "NZ_CP008863"
"30" "Pseudomonas_veronii_R02_5004" "NZ_LT608330"
"31" "Pseudomonas_veronii_R02_5004" "NZ_LT673656"
"32" "Pseudomonas_veronii_R02_5004" "NZ_CP008865"
"33" "Pseudomonas_veronii_R02_5004" "NZ_CP008866"
"34" "Pseudomonas_veronii_R02_5004" "NZ_CP008867"
"35" "Pseudomonas_veronii_R02_5004" "NZ_CP008868"
"36" "Pseudomonas_veronii_R02_5004" "NZ_CP008869"
"37" "Pseudomonas_veronii_R02_5004" "NZ_CP008870"
